Reward,Won Hand,Trials
-4250,1,1028
-4240,1,1029
-4250,-1,1029
-4260,-1,1031
-4270,-1,1031
-4260,1,1033
-4250,1,1034
-4250,0,1035
-4260,-1,1035
-4250,1,1037
-4260,-1,1037
-4270,-1,1038
-4280,-1,1039
-4290,-1,1040
-4300,-1,1041
-4310,-1,1042
-4300,1,1044
-4290,1,1045
-4300,-1,1045
-4310,-1,1047
-4300,1,1048
-4290,1,1049
-4300,-1,1050
-4310,-1,1051
-4300,1,1052
-4310,-1,1052
-4320,-1,1053
-4310,1,1055
-4310,0,1056
-4300,1,1057
-4290,1,1058
-4280,1,1059
-4290,-1,1059
-4280,1,1061
-4270,1,1062
-4280,-1,1062
-4290,-1,1063
-4280,1,1065
-4270,1,1066
-4280,-1,1067
-4290,-1,1067
-4300,-1,1068
-4310,-1,1070
-4300,1,1071
-4310,-1,1071
-4320,-1,1072
-4330,-1,1073
-4330,0,1075
-4320,1,1076
-4310,1,1077
-4300,1,1078
-4290,1,1079
-4300,-1,1079
-4310,-1,1081
-4300,1,1082
-4310,-1,1083
-4320,-1,1084
-4310,1,1085
-4320,-1,1085
-4330,-1,1086
-4320,1,1088
-4330,-1,1088
-4340,-1,1090
-4350,-1,1090
-4360,-1,1092
-4350,1,1093
-4340,1,1094
-4330,1,1095
-4330,0,1096
-4340,-1,1097
-4330,1,1098
-4340,-1,1099
-4350,-1,1099
-4340,1,1101
-4330,1,1102
-4320,1,1103
-4330,-1,1103
-4320,1,1105
-4310,1,1106
-4320,-1,1106
-4330,-1,1107
-4340,-1,1108
-4350,-1,1110
-4360,-1,1110
-4370,-1,1111
-4380,-1,1112
-4370,1,1114
-4380,-1,1114
-4390,-1,1116
-4400,-1,1117
-4410,-1,1118
-4420,-1,1118
-4420,0,1120
-4430,-1,1120
-4420,1,1122
-4410,1,1123
-4400,1,1124
-4390,1,1125
-4400,-1,1125
-4400,0,1127
-4400,0,1128
-4410,-1,1128
-4400,1,1130
-4400,0,1131
-4390,1,1132
-4380,1,1133
-4370,1,1134
-4360,1,1135
-4370,-1,1136
-4370,0,1137
-4380,-1,1138
-4390,-1,1139
-4380,1,1140
-4390,-1,1141
-4380,1,1142
-4390,-1,1143
-4380,1,1144
-4390,-1,1144
-4400,-1,1145
-4410,-1,1147
-4420,-1,1148
-4430,-1,1148
-4440,-1,1150
-4430,1,1151
-4440,-1,1152
-4450,-1,1152
-4440,1,1154
-4450,-1,1155
-4440,1,1156
-4430,1,1157
-4420,1,1158
-4430,-1,1159
-4440,-1,1159
-4450,-1,1160
-4460,-1,1161
-4470,-1,1163
-4470,0,1164
-4460,1,1165
-4470,-1,1165
-4480,-1,1166
-4490,-1,1167
-4480,1,1169
-4470,1,1170
-4480,-1,1171
-4490,-1,1172
-4500,-1,1172
-4490,1,1174
-4480,1,1175
-4480,0,1176
-4470,1,1177
-4480,-1,1177
-4490,-1,1178
-4490,0,1180
-4500,-1,1181
-4490,1,1182
-4480,1,1183
-4470,1,1184
-4480,-1,1185
-4490,-1,1185
-4500,-1,1187
-4510,-1,1188
-4520,-1,1189
-4530,-1,1190
-4520,1,1191
-4530,-1,1191
-4540,-1,1193
-4530,1,1194
-4540,-1,1194
-4550,-1,1196
-4540,1,1197
-4530,1,1198
-4520,1,1199
-4510,1,1200
-4520,-1,1200
-4510,1,1202
-4520,-1,1202
-4530,-1,1203
-4520,1,1205
-4510,1,1206
-4520,-1,1206
-4530,-1,1207
-4540,-1,1208
-4540,0,1210
-4530,1,1211
-4520,1,1212
-4510,1,1213
-4520,-1,1213
-4530,-1,1214
-4520,1,1216
-4530,-1,1217
-4530,0,1218
-4540,-1,1218
-4550,-1,1219
-4540,1,1221
-4540,0,1222
-4550,-1,1222
-4540,1,1224
-4530,1,1225
-4540,-1,1225
-4530,1,1227
-4540,-1,1228
-4550,-1,1228
-4560,-1,1229
-4570,-1,1231
-4580,-1,1232
-4570,1,1233
-4580,-1,1233
-4590,-1,1234
-4600,-1,1235
-4590,1,1237
-4600,-1,1237
-4590,1,1239
-4600,-1,1240
-4610,-1,1240
-4620,-1,1242
-4610,1,1243
-4620,-1,1243
-4630,-1,1244
-4640,-1,1245
-4650,-1,1247
-4640,1,1248
-4630,1,1249
-4640,-1,1249
-4630,1,1251
-4620,1,1252
-4630,-1,1252
-4640,-1,1254
-4650,-1,1255
-4640,1,1256
-4650,-1,1257
-4640,1,1258
-4650,-1,1258
-4640,1,1260
-4630,1,1261
-4620,1,1262
-4610,1,1263
-4620,-1,1264
-4630,-1,1265
-4640,-1,1265
-4650,-1,1266
-4640,1,1268
-4650,-1,1269
-4660,-1,1269
-4670,-1,1270
-4660,1,1272
-4650,1,1273
-4640,1,1274
-4650,-1,1275
-4660,-1,1275
-4650,1,1277
-4640,1,1278
-4650,-1,1278
-4660,-1,1280
-4650,1,1281
-4660,-1,1281
-4670,-1,1282
-4660,1,1284
-4650,1,1285
-4640,1,1286
-4650,-1,1287
-4660,-1,1288
-4670,-1,1288
-4680,-1,1289
-4670,1,1291
-4670,0,1292
-4680,-1,1292
-4670,1,1294
-4660,1,1295
-4670,-1,1295
-4680,-1,1297
-4690,-1,1297
-4680,1,1299
-4690,-1,1300
-4680,1,1301
-4690,-1,1302
-4700,-1,1303
-4710,-1,1304
-4720,-1,1304
-4730,-1,1305
-4740,-1,1306
-4750,-1,1308
-4740,1,1309
-4730,1,1310
-4740,-1,1310
-4730,1,1312
-4740,-1,1313
-4750,-1,1313
-4760,-1,1315
-4750,1,1316
-4740,1,1317
-4750,-1,1318
-4760,-1,1319
-4750,1,1320
-4760,-1,1320
-4770,-1,1321
-4780,-1,1323
-4790,-1,1324
-4780,1,1325
-4790,-1,1325
-4800,-1,1327
-4810,-1,1328
-4810,0,1329
-4800,1,1330
-4810,-1,1331
-4800,1,1332
-4790,1,1333
-4800,-1,1333
-4790,1,1335
-4800,-1,1335
-4810,-1,1337
-4820,-1,1337
-4830,-1,1338
-4820,1,1340
-4810,1,1341
-4800,1,1342
-4810,-1,1342
-4820,-1,1343
-4830,-1,1345
-4840,-1,1346
-4850,-1,1346
-4840,1,1348
-4850,-1,1348
-4860,-1,1350
-4870,-1,1350
-4860,1,1352
-4850,1,1353
-4860,-1,1354
-4870,-1,1355
-4880,-1,1356
-4890,-1,1356
-4900,-1,1357
-4910,-1,1359
-4920,-1,1359
-4910,1,1361
-4900,1,1362
-4910,-1,1362
-4920,-1,1363
-4930,-1,1365
-4920,1,1366
-4930,-1,1366
-4940,-1,1368
-4930,1,1369
-4920,1,1370
-4910,1,1371
-4920,-1,1371
-4930,-1,1372
-4940,-1,1374
-4950,-1,1375
-4960,-1,1375
-4970,-1,1376
-4960,1,1378
-4950,1,1379
-4940,1,1380
-4950,-1,1380
-4940,1,1382
-4930,1,1383
-4940,-1,1383
-4930,1,1385
-4940,-1,1385
-4950,-1,1387
-4960,-1,1388
-4970,-1,1388
-4960,1,1390
-4950,1,1391
-4940,1,1392
-4930,1,1393
-4920,1,1394
-4920,0,1395
-4910,1,1396
-4900,1,1397
-4890,1,1398
-4900,-1,1398
-4890,1,1400
-4900,-1,1400
-4910,-1,1401
-4920,-1,1402
-4930,-1,1403
-4920,1,1405
-4910,1,1406
-4910,0,1407
-4920,-1,1407
-4930,-1,1408
-4920,1,1410
-4910,1,1411
-4920,-1,1411
-4930,-1,1412
-4940,-1,1413
