Won Hand,Trials,Reward
5785,14570,6145
5790,14580,6154
5797,14590,6188
5801,14600,6194
5805,14610,6200
5805,14620,6165
5808,14630,6151
5813,14640,6167
5815,14650,6150
5819,14660,6156
5824,14670,6169
5828,14680,6168
5831,14690,6171
5838,14700,6213
5842,14710,6214
5847,14720,6223
5849,14730,6204
5853,14740,6207
5855,14750,6196
5859,14760,6203
5861,14770,6185
5865,14780,6197
5872,14790,6230
5877,14800,6245
5881,14810,6254
5886,14820,6264
5890,14830,6273
5892,14840,6248
5898,14850,6269
5903,14860,6292
5908,14870,6308
5912,14880,6310
5914,14890,6311
5920,14900,6332
5924,14910,6328
5929,14920,6340
5933,14930,6340
5938,14940,6351
5942,14950,6350
5944,14960,6325
5948,14970,6330
5951,14980,6337
5956,14990,6347
5962,15000,6367
5965,15010,6363
5971,15020,6384
5977,15030,6418
5981,15040,6423
5985,15050,6435
5991,15060,6461
5994,15070,6455
5997,15080,6441
6001,15090,6446
6005,15100,6454
6009,15110,6468
6014,15120,6482
6016,15130,6454
6022,15140,6486
6027,15150,6497
6031,15160,6495
6037,15170,6513
6040,15180,6514
6042,15190,6503
6048,15200,6532
6054,15210,6551
6059,15220,6562
6063,15230,6564
6067,15240,6562
6069,15250,6544
6073,15260,6546
6078,15270,6554
6082,15280,6561
6085,15290,6550
6089,15300,6547
6092,15310,6533
6094,15320,6513
6099,15330,6521
6104,15340,6536
6106,15350,6515
6110,15360,6523
6116,15370,6540
6121,15380,6551
6125,15390,6545
6130,15400,6572
6133,15410,6580
6137,15420,6587
6141,15430,6595
6144,15440,6585
6148,15450,6586
6152,15460,6596
6157,15470,6621
6162,15480,6634
6165,15490,6646
6170,15500,6654
6175,15510,6663
6179,15520,6663
6183,15530,6679
6186,15540,6691
6192,15550,6719
6195,15560,6716
6197,15570,6695
6202,15580,6715
6207,15590,6730
6209,15600,6706
6214,15610,6734
6218,15620,6729
6221,15630,6740
6223,15640,6729
6229,15650,6749
6230,15660,6734
6235,15670,6746
6240,15680,6756
6244,15690,6759
6248,15700,6771
6250,15710,6755
6255,15720,6772
6260,15730,6787
6263,15740,6789
6266,15750,6777
6270,15760,6775
6273,15770,6761
6278,15780,6777
6283,15790,6792
6289,15800,6819
6293,15810,6822
6297,15820,6820
6302,15830,6836
6308,15840,6861
6312,15850,6873
6316,15860,6871
6318,15870,6851
6325,15880,6892
6331,15890,6915
6333,15900,6898
6338,15910,6919
6342,15920,6921
6347,15930,6937
6349,15940,6920
6354,15950,6929
6357,15960,6936
6358,15970,6914
6360,15980,6891
6363,15990,6887
6367,16000,6884
6371,16010,6901
6374,16020,6903
6376,16030,6891
6379,16040,6887
6384,16050,6892
6388,16060,6912
6392,16070,6921
6395,16080,6907
6400,16090,6919
6402,16100,6899
6405,16110,6887
